127.0.0.1 - - [05/Dec/2016:23:19:56 +0900] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:19:57 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:19:58 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:19:58 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:00 +0900] "GET /RecommedationMovie/Login.jsp?STATUS= HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:06 +0900] "GET /RecommedationMovie/LoginCheck.jsp?ID=asd&PASSWORD=asd HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:06 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:08 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:08 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:10 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:10 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6568
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:14 +0900] "GET /RecommedationMovie/getSeenMovies.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:15 +0900] "GET /RecommedationMovie/SeenMovieList.jsp?page=0 HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:25 +0900] "GET /RecommedationMovie/getSeenMovies.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:25 +0900] "GET /RecommedationMovie/SeenMovieList.jsp?page=0 HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:26 +0900] "GET /RecommedationMovie/getFriendsMovie.jsp?Friend= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:27 +0900] "GET /RecommedationMovie/FriendsList.jsp?page=0 HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:20:28 +0900] "GET /RecommedationMovie/getFriendsMovie.jsp?Friend=qwe HTTP/1.1" 302 -
